Time,[s],,Analyzer,Name,,Decoded,Protocol,Result
0.1042925,I2C,'236',(0xEC),+,ACK,,,
0.10450875,I2C,'255',(0xFF),+,ACK,,,
0.10472525,I2C,l,(0x6C),+,NAK,,,
0.10510375,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.10532,I2C,C,(0x43),+,ACK,,,
0.1055725,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.10578875,I2C,'255',(0xFF),+,ACK,,,
0.106005,I2C,j,(0x6A),+,ACK,,,
0.10622125,I2C,'254',(0xFE),+,ACK,,,
0.1064375,I2C,'227',(0xE3),+,ACK,,,
0.10665375,I2C,'255',(0xFF),+,ACK,,,
0.10687025,I2C,h,(0x68),+,NAK,,,
0.10724875,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.107465,I2C,C,(0x43),+,ACK,,,
0.10771725,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.1079335,I2C,'255',(0xFF),+,ACK,,,
0.10815,I2C,~,(0x7E),+,ACK,,,
0.10836625,I2C,'254',(0xFE),+,ACK,,,
0.1085825,I2C,'224',(0xE0),+,ACK,,,
0.10879875,I2C,'255',(0xFF),+,ACK,,,
0.109015,I2C,f,(0x66),+,NAK,,,
0.1093935,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.10961,I2C,C,(0x43),+,ACK,,,
0.10986225,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.1100785,I2C,'255',(0xFF),+,ACK,,,
0.110295,I2C,|,(0x7C),+,ACK,,,
0.11051125,I2C,'254',(0xFE),+,ACK,,,
0.1107275,I2C,'225',(0xE1),+,ACK,,,
0.11094375,I2C,'255',(0xFF),+,ACK,,,
0.11116,I2C,e,(0x65),+,NAK,,,
0.1115385,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.11175475,I2C,C,(0x43),+,ACK,,,
0.11200725,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.1122235,I2C,'255',(0xFF),+,ACK,,,
0.11243975,I2C,d,(0x64),+,ACK,,,
0.112656,I2C,'254',(0xFE),+,ACK,,,
0.1128725,I2C,'226',(0xE2),+,ACK,,,
0.11308875,I2C,'255',(0xFF),+,ACK,,,
0.113305,I2C,N,(0x4E),+,NAK,,,
0.1136835,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.11389975,I2C,C,(0x43),+,ACK,,,
0.114152,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.1143685,I2C,'255',(0xFF),+,ACK,,,
0.1145845,I2C,'134',(0x86),+,ACK,,,
